name,count
delilah,62507
athena,50614
alina,43173
helena,39561
ayla,34866
evangeline,34756
adelaide,33938
helene,33291
adalynn,32506
elaina,31035
malia,30729
izabella,30600
julianne,30521
adalyn,29815
leanne,29556
brenna,29263
eve,28926
sondra,27067
colette,27021
rosalind,26995
arabella,26512
maeve,26442
nyla,26387
susanne,26086
elliana,25942
frieda,25468
gemma,24227
alessandra,24136
larissa,23370
rosalyn,23040
margot,22984
madilyn,22958
madalyn,22943
lilah,22916
vivienne,22126
lilliana,22114
kaylie,21950
bernadine,21927
elinor,21496
malinda,21394
ladonna,21227
magnolia,21154
corrine,20790
myla,20684
carmella,20477
mikaela,20475
noreen,20074
karissa,20026
lilian,19925
liana,19856
susanna,19782
anya,19738
bryanna,19561
melina,19488
zara,19484
tabatha,19398
annika,19337
kamila,19240
selina,19045
belle,18976
annmarie,18939
valarie,18666
elle,18574
eleanore,18567
madelynn,18358
amina,18292
amiyah,18156
marianna,18132
freya,18062
dahlia,17931
elissa,17924
aniya,17850
ilene,17822
leia,17736
kimberlee,17661
alyce,17500
lorelei,17482
maia,17481
aurelia,17373
adaline,17309
georgina,17178
jeanie,17126
scarlet,17121
anaya,17080
celine,17052
jazlyn,16922
nanette,16888
deirdre,16831
destinee,16746
nona,16696
anika,16529
danica,16391
annalise,16388
cathryn,16322
estrella,16321
aleah,16320
ayanna,16163
janna,16012
amalia,15944
corina,15888
roseann,15860
thalia,15808
margery,15785
kathrine,15760
adelina,15751
shania,15744
minerva,15734
lelia,15627
alena,15613
luciana,15487
edwina,15457
cheyanne,15376
gracelyn,15240
carlene,15219
lynnette,15206
dayana,15205
katheryn,15175
kathie,15086
aubrie,15065
evelynn,15049
marietta,15013
tiffani,14911
maliyah,14888
annabel,14880
annabella,14837
ursula,14782
tess,14653
janessa,14601
wendi,14522
kaila,14467
adelynn,14328
leeann,14300
roselyn,14294
tamera,14263
nita,14261
briella,14201
skyla,14080
adela,13902
tammi,13884
maryjane,13877
edythe,13872
jolie,13855
maryanne,13847
chelsie,13837
giovanna,13826
louella,13809
benita,13658
reina,13562
sheree,13554
karlee,13541
emelia,13537
alia,13526
chana,13503
madge,13430
georgette,13424
tianna,13298
madyson,13293
janiyah,13253
zella,13250
marilynn,13240
yaretzi,13185
mitzi,13176
nylah,13141
maryellen,13120
bridgett,13105
desirae,13094
marylou,13084
rayna,13038
catharine,12994
clementine,12993
maryam,12974
iliana,12958
gena,12825
tamia,12724
lulu,12656
cordelia,12646
rosalee,12626
gracelynn,12550
winona,12481
lilith,12404
kallie,12401
annemarie,12325
isabela,12269
emmy,12264
diann,12252
caryn,12182
sharlene,12166
raina,12162
aleena,12096
elianna,12084
kristal,12065
alecia,12032
coleen,11998
jaliyah,11946
annamarie,11946
leta,11934
twila,11877
maudie,11841
giuliana,11793
daleyza,11774
millicent,11718
kitty,11657
maisie,11618
xiomara,11571
alayah,11464
maranda,11431
letitia,11408
karlie,11400
marlena,11264
breana,11208
lidia,11193
cherish,11190
madilynn,11106
davina,11012
zoie,11004
zaria,11001
arely,10958
pansy,10953
mayme,10928
karli,10894
christiana,10873
paislee,10824
cayla,10821
freida,10775
malaysia,10753
aliya,10743
lettie,10739
