name,female_sum,male_sum,both_sums,per_diff
valencia,12077,11,12088,199.63600264725346
tenzin,1217,1590,2807,26.576416102600643
danney,5,512,517,196.13152804642166
isamar,2390,91,2481,185.3284965739621
johnson,22,6987,7009,198.7444713939221
kelsy,3215,39,3254,195.20590043023972
kiari,927,233,1160,119.65517241379311
tommie,17691,34411,52102,64.1817972438678
hayven,1400,252,1652,138.98305084745763
jamyri,22,6,28,114.28571428571428
shawnte,1385,102,1487,172.56220578345662
jersei,190,6,196,187.75510204081633
evren,136,1047,1183,154.0152155536771
rondelle,13,6,19,73.68421052631578
deborah,742504,1658,744162,199.1087962029773
odel,5,181,186,189.247311827957
kace,31,2967,2998,195.86390927284856
halo,4029,749,4778,137.29593972373377
salvatore,81,57110,57191,199.43347729537862
tola,104,6,110,178.1818181818182
tonia,22186,53,22239,199.04671972660643
javian,6,2834,2840,199.1549295774648
gerard,112,58721,58833,199.23852259786173
ola,29637,624,30261,191.751759690691
chadney,5,43,48,158.33333333333331
keona,3234,80,3314,190.3439951719976
dellie,634,11,645,193.17829457364343
hector,481,107937,108418,198.22538692836983
frankie,36607,42007,78614,13.738011041290354
jarrell,22,4211,4233,197.92109614930308
tamare,10,12,22,18.181818181818183
nolan,536,130624,131160,198.3653552912473
wyn,28,148,176,136.36363636363635
ayan,828,3753,4581,127.70137524557956
soni,321,5,326,193.86503067484662
arguster,10,11,21,9.523809523809524
marine,984,6,990,197.5757575757576
rye,155,1017,1172,147.09897610921502
keyori,32,8,40,120.0
jaazaniah,20,5,25,120.0
dae,63,122,185,63.78378378378379
keandra,1372,10,1382,197.10564399421128
merwin,5,1625,1630,198.77300613496934
aspyn,3649,107,3756,188.604898828541
deshan,12,253,265,181.8867924528302
wellesley,36,19,55,61.81818181818181
leonis,5,41,46,156.52173913043478
haidin,5,21,26,123.07692307692308
graylin,96,529,625,138.56
aric,5,7600,7605,199.73701512163052
sophana,5,14,19,94.73684210526315
trace,348,13419,13767,189.8888646764001
theodora,12267,49,12316,198.40857421240662
sandi,10096,21,10117,199.1697143421963
eldee,5,6,11,18.181818181818183
thad,5,8212,8217,199.75660216624073
aeon,76,165,241,73.85892116182573
ronne,68,67,135,1.4814814814814816
orell,44,158,202,112.87128712871286
celeste,63949,57,64006,199.64378339530668
goldyn,50,5,55,163.63636363636365
mila,79664,82,79746,199.58869410377952
kevion,5,1085,1090,198.1651376146789
michaele,1816,21,1837,195.4273271638541
colbee,34,6,40,140.0
shie,5,6,11,18.181818181818183
blaike,205,181,386,12.435233160621761
khyrie,78,717,795,160.75471698113208
atzin,22,118,140,137.14285714285714
delyn,57,11,68,135.29411764705884
asani,552,310,862,56.148491879350345
kippy,102,166,268,47.76119402985074
reathel,127,6,133,181.95488721804512
loxley,462,133,595,110.58823529411765
zacaria,134,27,161,132.9192546583851
eureka,855,5,860,197.67441860465115
rhyker,5,432,437,195.4233409610984
dolores,211368,1336,212704,197.48758838573792
chezarae,6,9,15,40.0
ocie,4112,2738,6850,40.11678832116788
hien,327,305,632,6.962025316455696
lovely,2301,12,2313,197.9247730220493
findlay,38,279,317,152.0504731861199
jacob,2305,981940,984245,199.0632413677489
jalyne,147,10,157,174.52229299363057
curry,85,1562,1647,179.3564055859138
kobe,574,21923,22497,189.79419478152641
obie,271,4155,4426,175.5083596927248
elan,793,3478,4271,125.73167876375555
sirius,5,689,694,197.11815561959654
virgie,21800,668,22468,188.1075307103436
qamari,5,21,26,123.07692307692308
kaylan,4389,783,5172,139.4431554524362
ty,732,47294,48026,193.90330237787865
alessi,571,9,580,193.79310344827587
notnamed,643,722,1365,11.575091575091575
kalon,23,1033,1056,191.28787878787878
greyson,793,57770,58563,194.58361081228765
monte,828,23037,23865,186.12193588937777
duncan,11,21032,21043,199.79090433873498
caydin,37,425,462,167.96536796536796
omi,78,75,153,3.9215686274509802
honour,257,109,366,80.87431693989072
mayce,456,22,478,181.5899581589958
york,11,955,966,195.44513457556937
tiana,29351,9,29360,199.8773841961853
orin,16,6198,6214,198.97006758931445
cristian,1126,69011,70137,193.57828250424168
zixuan,25,46,71,59.154929577464785
lacey,53399,1458,54857,189.36872231438102
colin,445,132757,133202,198.66368372847253
southern,107,56,163,62.57668711656442
harlee,7779,479,8258,176.79825623637683
rosalio,5,2047,2052,199.0253411306043
abbott,24,1269,1293,192.5754060324826
harbor,782,389,1171,67.12211784799317
jeanette,163365,537,163902,198.68946077534136
gustavo,104,39904,40008,198.96020795840832
freeman,5,10961,10966,199.81761809228524
callisto,77,25,102,101.96078431372548
winsley,238,6,244,190.1639344262295
shevon,420,15,435,186.20689655172413
kayra,799,35,834,183.2134292565947
loyal,478,5705,6183,169.0765000808669
alissa,38490,31,38521,199.67809766101607
adonai,230,1142,1372,132.94460641399417
taurus,84,1979,2063,183.7130392632089
kinshasa,116,6,122,180.327868852459
tavion,13,3047,3060,198.30065359477123
montgomery,527,5459,5986,164.78449716004008
burke,70,4067,4137,193.23181049069373
malika,4901,36,4937,197.0832489366012
leighton,11519,9201,20720,22.374517374517374
jubilee,3548,27,3575,196.979020979021
kieran,1594,16788,18382,165.3138940267653
ramelle,47,11,58,124.13793103448276
trenity,857,23,880,189.54545454545456
mychal,265,2002,2267,153.24217026907806
zoel,36,112,148,102.7027027027027
rai,136,350,486,88.06584362139918
jette,148,6,154,184.41558441558442
maisen,86,325,411,116.30170316301702
bessie,170123,737,170860,198.27461079246166
rilee,3303,412,3715,155.63930013458952
ariam,468,62,530,153.20754716981133
shyaire,5,9,14,57.14285714285714
yarnell,88,64,152,31.57894736842105
christie,45998,884,46882,192.45765965615803
devinn,100,273,373,92.76139410187668
chazz,29,1316,1345,191.37546468401487
benji,63,2142,2205,188.57142857142856
romy,2890,224,3114,171.2267180475273
abby,61472,181,61653,198.82568569250483
kellen,1260,16837,18097,172.15008012377743
tinker,10,10,20,0.0
augie,10,730,740,194.5945945945946
daytona,724,244,968,99.17355371900827
jaquis,10,247,257,184.43579766536965
lesean,10,351,361,188.9196675900277
posey,550,396,946,32.55813953488372
nekoda,36,204,240,140.0
josia,5,144,149,186.5771812080537
kiersten,14779,5,14784,199.8647186147186
perri,2422,114,2536,182.01892744479494
blessed,251,191,442,27.149321266968325
floyce,517,12,529,190.92627599243858
nadar,44,10,54,125.92592592592592
sophie,134574,117,134691,199.65253803149432
donte,137,15616,15753,196.52129753062908
bryley,339,67,406,133.99014778325122
sarai,22181,6,22187,199.89182854824898
sammie,7801,20818,28619,90.96753904748593
aron,355,20854,21209,193.30472912442832
munachimso,174,122,296,35.13513513513514
tyler,17422,602289,619711,188.7547582663532
teryl,779,263,1042,99.04030710172745
decklyn,158,335,493,71.80527383367141
loyce,3503,775,4278,127.53623188405795
blakeley,1280,102,1382,170.47756874095515
kiare,26,5,31,135.48387096774192
terrylee,30,10,40,100.0
latrell,541,3807,4348,150.22999080036797
winton,5,1933,1938,198.96800825593394
reza,9,1155,1164,196.9072164948454
ruben,655,115918,116573,197.75248127782592
arpan,5,253,258,192.24806201550388
demery,27,11,38,84.21052631578947
darasimi,70,5,75,173.33333333333334
verdun,8,81,89,164.04494382022472
yvan,5,493,498,195.98393574297188
izell,17,687,704,190.3409090909091
vonn,5,310,315,193.65079365079364
aurora,91980,91,92071,199.6046529308903
wylie,726,5896,6622,156.14617940199335
sharif,5,2678,2683,199.2545657845695
cassie,46462,385,46847,196.71270305462463
blythe,5076,263,5339,180.2959355684585
forest,580,17433,18013,187.12041303503025
jeannie,36097,55,36152,199.39145828723167
verley,84,21,105,120.0
dandy,5,100,105,180.95238095238096
seraphin,5,21,26,123.07692307692308
adlai,81,602,683,152.56222547584187
brayton,22,2479,2501,196.48140743702518
simi,507,6,513,195.3216374269006
corine,14547,12,14559,199.6703070265815
autry,243,1213,1456,133.24175824175825
alberta,70355,399,70754,197.74429714221105
oliver,753,254854,255607,198.82162851565099
thuong,37,7,44,136.36363636363635
colt,11,26673,26684,199.83510718033278
skiler,170,164,334,3.592814371257485
kasi,2280,53,2333,190.9129875696528
phenyx,116,35,151,107.28476821192052
louisa,21523,5,21528,199.90709773318468
banx,11,324,335,186.86567164179104
conor,69,27087,27156,198.98365002209457
zo,304,94,398,105.52763819095476
braylenn,5,31,36,144.44444444444443
vertie,1542,5,1547,198.70717517776342
latonya,21757,67,21824,198.77199413489737
renley,1022,284,1306,113.01684532924963
avielle,606,6,612,196.078431372549
alfonso,115,41238,41353,198.8876260488961
dangel,15,33,48,75.0
gale,19906,12424,32330,46.28518403959171
renel,16,62,78,117.94871794871796
brannan,11,381,392,188.77551020408163
bleu,246,339,585,31.794871794871792
yvette,63918,186,64104,198.83938599775365
ilan,59,3107,3166,192.54579911560327
juliann,7453,78,7531,195.85712388792987
marvelous,109,226,335,69.85074626865672
cleve,23,4506,4529,197.9686465003312
joesph,12,15637,15649,199.6932711355358
marqui,59,307,366,135.5191256830601
shakari,301,17,318,178.61635220125785
karmel,137,21,158,146.8354430379747
khary,5,928,933,197.85637727759914
ruari,133,117,250,12.8
cristy,8185,75,8260,196.3680387409201
rhoda,26009,12,26021,199.81553360747088
giang,12,63,75,136.0
josha,28,426,454,175.33039647577093
darelle,11,284,295,185.08474576271186
odia,37,7,44,136.36363636363635
mello,10,64,74,145.94594594594594
sellers,6,32,38,136.8421052631579
leelyn,23,168,191,151.8324607329843
concetta,14177,5,14182,199.8589761669722
kylenn,28,32,60,13.333333333333334
selah,13747,194,13941,194.4336848145757
alexx,217,402,619,59.77382875605816
langston,338,7089,7427,181.7961491854046
westlyn,423,35,458,169.43231441048033
sani,382,120,502,104.38247011952191
hinckley,15,58,73,117.8082191780822
bronnie,65,8,73,156.16438356164383
indiana,2006,1386,3392,36.556603773584904
anders,5,7793,7798,199.74352398050783
onyx,1627,5954,7581,114.15380556654794
taegan,1098,391,1489,94.96306245802552
cadance,938,5,943,197.87910922587486
norah,32661,129,32790,198.4263494967978
cidney,875,17,892,192.37668161434976
jasmeet,207,64,271,105.53505535055349
terral,20,586,606,186.7986798679868
alaa,1475,458,1933,105.22503879979305
timber,1464,860,2324,51.97934595524957
yandy,20,12,32,50.0
kamoni,507,268,775,61.67741935483871
weslie,550,387,937,34.79188900747065
tatem,353,293,646,18.575851393188856
lorren,409,368,777,10.553410553410554
ella,345401,901,346302,198.95928986838078
kirin,413,544,957,27.377220480668758
stellan,17,1390,1407,195.16702203269367
yodahe,5,32,37,145.94594594594594
amarii,556,757,1313,30.616907844630614
chantha,34,30,64,12.5
sundown,12,6,18,66.66666666666666
rebel,1438,932,2370,42.700421940928265
montrese,22,5,27,125.92592592592592
amere,145,1088,1233,152.96025952960258
kareem,198,17776,17974,195.593635250918
joa,47,53,100,12.0
tai,1804,3069,4873,51.91873589164786
takeshi,5,708,713,197.19495091164094
tamauri,10,29,39,97.43589743589743
tayden,170,2938,3108,178.12097812097812
carel,60,166,226,93.80530973451327
shown,6,75,81,170.37037037037038
marion,189125,72440,261565,89.22065261024984
beasley,13,11,24,16.666666666666664
cache,475,971,1446,68.6030428769018
emory,9889,18700,28589,61.639091958445555
chayse,870,2258,3128,88.7468030690537
eula,47154,332,47486,197.20338626121384
linh,1503,213,1716,150.34965034965035
orlee,41,5,46,156.52173913043478
bae,28,5,33,139.3939393939394
blue,473,899,1372,62.09912536443149
hart,79,1153,1232,174.35064935064935
mickel,47,1955,2002,190.60939060939063
maya,119839,163,120002,199.4566757220713
leo,2113,251760,253873,196.67077633304842
haddy,167,5,172,188.37209302325581
keilani,4918,5,4923,199.59374365224457
loyd,86,22431,22517,198.47226539947596
kanya,593,25,618,183.8187702265372
axl,5,4214,4219,199.5259540175397
shajuan,142,56,198,86.86868686868688
bennette,74,30,104,84.61538461538461
marlen,5470,920,6390,142.41001564945225
garret,5,13236,13241,199.84895400649498
deavion,193,370,563,62.87744227353463
kerin,1318,272,1590,131.57232704402514
malone,322,370,692,13.872832369942195
burton,48,22464,22512,199.14712153518124
koty,30,454,484,175.20661157024793
clarke,1546,3872,5418,85.86194167589515
tennille,2179,15,2194,197.26526891522334
estefany,5560,5,5565,199.64061096136567
tevin,59,11663,11722,197.98669169083774
keimoni,39,69,108,55.55555555555556
